LOCATION,DateTime,DO.mgL,Temp.F
TLSAC,2/7/2022 13:59,12.14,50.83
TLSAC,2/7/2022 14:14,12.22,50.61
TLSAC,2/7/2022 14:29,12.23,50.58
TLSAC,2/7/2022 14:44,12.27,50.58
TLSAC,2/7/2022 14:59,12.27,50.61
TLSAC,2/7/2022 15:14,12.27,50.61
TLSAC,2/7/2022 15:29,12.27,50.61
TLSAC,2/7/2022 15:44,12.29,50.65
TLSAC,2/7/2022 15:59,12.31,50.65
TLSAC,2/7/2022 16:14,12.31,50.68
TLSAC,2/7/2022 16:29,12.31,50.65
TLSAC,2/7/2022 16:44,12.32,50.68
TLSAC,2/7/2022 16:59,12.32,50.65
TLSAC,2/7/2022 17:14,12.32,50.65
TLSAC,2/7/2022 17:29,12.32,50.65
TLSAC,2/7/2022 17:44,12.32,50.65
TLSAC,2/7/2022 17:59,12.31,50.65
TLSAC,2/7/2022 18:14,12.31,50.61
TLSAC,2/7/2022 18:29,12.29,50.61
TLSAC,2/7/2022 18:44,12.29,50.58
TLSAC,2/7/2022 18:59,12.28,50.58
TLSAC,2/7/2022 19:14,12.27,50.54
TLSAC,2/7/2022 19:29,12.25,50.5
TLSAC,2/7/2022 19:44,12.23,50.47
TLSAC,2/7/2022 19:59,12.22,50.47
TLSAC,2/7/2022 20:14,12.21,50.43
TLSAC,2/7/2022 20:29,12.22,50.4
TLSAC,2/7/2022 20:44,12.2,50.36
TLSAC,2/7/2022 20:59,12.18,50.32
TLSAC,2/7/2022 21:14,12.18,50.29
TLSAC,2/7/2022 21:29,12.16,50.25
TLSAC,2/7/2022 21:44,12.16,50.22
TLSAC,2/7/2022 21:59,12.15,50.18
TLSAC,2/7/2022 22:14,12.15,50.11
TLSAC,2/7/2022 22:29,12.14,50.11
TLSAC,2/7/2022 22:44,12.14,50.07
TLSAC,2/7/2022 22:59,12.13,50.04
TLSAC,2/7/2022 23:14,12.14,50
TLSAC,2/7/2022 23:29,12.14,49.96
TLSAC,2/7/2022 23:44,12.12,49.93
TLSAC,2/7/2022 23:59,12.1,49.93
TLSAC,2/8/2022 0:14,12.1,49.89
TLSAC,2/8/2022 0:29,12.09,49.86
