LOCATION,DateTime,DO.mgL,Temp.F
RRSAC1,2/21/2019 13:15,10.82,48.27
RRSAC1,2/21/2019 13:30,10.96,47.7
RRSAC1,2/21/2019 13:45,10.98,47.62
RRSAC1,2/21/2019 14:00,10.98,47.62
RRSAC1,2/21/2019 14:15,10.99,47.62
RRSAC1,2/21/2019 14:30,10.98,47.66
RRSAC1,2/21/2019 14:45,10.98,47.66
RRSAC1,2/21/2019 15:00,10.98,47.7
RRSAC1,2/21/2019 15:15,10.98,47.73
RRSAC1,2/21/2019 15:30,10.98,47.73
RRSAC1,2/21/2019 15:45,10.98,47.77
RRSAC1,2/21/2019 16:00,10.97,47.77
RRSAC1,2/21/2019 16:15,10.97,47.8
RRSAC1,2/21/2019 16:30,10.97,47.8
RRSAC1,2/21/2019 16:45,10.97,47.8
RRSAC1,2/21/2019 17:00,10.97,47.84
RRSAC1,2/21/2019 17:15,10.96,47.84
RRSAC1,2/21/2019 17:30,10.96,47.84
RRSAC1,2/21/2019 17:45,10.96,47.84
RRSAC1,2/21/2019 18:00,10.96,47.84
RRSAC1,2/21/2019 18:15,10.95,47.88
RRSAC1,2/21/2019 18:30,10.95,47.88
RRSAC1,2/21/2019 18:45,10.95,47.88
RRSAC1,2/21/2019 19:00,10.94,47.88
RRSAC1,2/21/2019 19:15,10.94,47.88
RRSAC1,2/21/2019 19:30,10.94,47.88
RRSAC1,2/21/2019 19:45,10.93,47.91
RRSAC1,2/21/2019 20:00,10.93,47.91
RRSAC1,2/21/2019 20:15,10.93,47.91
RRSAC1,2/21/2019 20:30,10.93,47.91
RRSAC1,2/21/2019 20:45,10.9,47.91
RRSAC1,2/21/2019 21:00,10.91,47.91
RRSAC1,2/21/2019 21:15,10.91,47.91
RRSAC1,2/21/2019 21:30,10.9,47.91
RRSAC1,2/21/2019 21:45,10.9,47.91
RRSAC1,2/21/2019 22:00,10.9,47.91
RRSAC1,2/21/2019 22:15,10.89,47.91
RRSAC1,2/21/2019 22:30,10.9,47.91
RRSAC1,2/21/2019 22:45,10.89,47.91
RRSAC1,2/21/2019 23:00,10.9,47.88
RRSAC1,2/21/2019 23:15,10.9,47.88
RRSAC1,2/21/2019 23:30,10.89,47.88
RRSAC1,2/21/2019 23:45,10.89,47.88
RRSAC1,2/22/2019 0:00,10.89,47.88
RRSAC1,2/22/2019 0:15,10.89,47.88
RRSAC1,2/22/2019 0:30,10.88,47.84
RRSAC1,2/22/2019 0:45,10.88,47.84
RRSAC1,2/22/2019 1:00,10.88,47.84
RRSAC1,2/22/2019 1:15,10.87,47.8
RRSAC1,2/22/2019 1:30,10.87,47.8
RRSAC1,2/22/2019 1:45,10.87,47.8
RRSAC1,2/22/2019 2:00,10.88,47.8
RRSAC1,2/22/2019 2:15,10.88,47.77
RRSAC1,2/22/2019 2:30,10.88,47.77
RRSAC1,2/22/2019 2:45,10.88,47.73
RRSAC1,2/22/2019 3:00,10.88,47.73
RRSAC1,2/22/2019 3:15,10.88,47.73
RRSAC1,2/22/2019 3:30,10.87,47.7
RRSAC1,2/22/2019 3:45,10.88,47.7
RRSAC1,2/22/2019 4:00,10.87,47.66
RRSAC1,2/22/2019 4:15,10.87,47.66
RRSAC1,2/22/2019 4:30,10.87,47.62
RRSAC1,2/22/2019 4:45,10.87,47.62
