"","LOCATION","DateTime","DO.mg","Temp.F"
"1","RRCAN",2021-02-09 08:06:35,8.15,53.06
"2","RRCAN",2021-02-09 08:16:35,8.13,53.06
"3","RRCAN",2021-02-09 08:26:35,8.18,53.1
"4","RRCAN",2021-02-09 08:36:35,8.22,53.13
"5","RRCAN",2021-02-09 08:46:35,8.23,53.13
"6","RRCAN",2021-02-09 08:56:35,8.27,53.13
"7","RRCAN",2021-02-09 09:06:35,8.25,53.17
"8","RRCAN",2021-02-09 09:16:35,8.23,53.17
"9","RRCAN",2021-02-09 09:26:35,8.24,53.2
"10","RRCAN",2021-02-09 09:36:35,8.23,53.24
"11","RRCAN",2021-02-09 09:46:35,8.2,53.24
"12","RRCAN",2021-02-09 09:56:35,8.2,53.24
"13","RRCAN",2021-02-09 10:06:35,8.18,53.28
"14","RRCAN",2021-02-09 10:16:35,8.18,53.28
"15","RRCAN",2021-02-09 10:26:35,8.2,53.28
"16","RRCAN",2021-02-09 10:36:35,8.2,53.31
"17","RRCAN",2021-02-09 10:46:35,8.16,53.31
"18","RRCAN",2021-02-09 10:56:35,8.13,53.31
"19","RRCAN",2021-02-09 11:06:35,8.09,53.31
"20","RRCAN",2021-02-09 11:16:35,8.09,53.31
"21","RRCAN",2021-02-09 11:26:35,8.14,53.31
"22","RRCAN",2021-02-09 11:36:35,8.14,53.31
"23","RRCAN",2021-02-09 11:46:35,8.1,53.31
"24","RRCAN",2021-02-09 11:56:35,8.03,53.38
"25","RRCAN",2021-02-09 12:06:35,8.03,53.35
"26","RRCAN",2021-02-09 12:16:35,8.03,53.31
"27","RRCAN",2021-02-09 12:26:35,7.96,53.35
"28","RRCAN",2021-02-09 12:36:35,8.02,53.35
"29","RRCAN",2021-02-09 12:46:35,8.02,53.31
"30","RRCAN",2021-02-09 12:56:35,8.04,53.35
"31","RRCAN",2021-02-09 13:06:35,8,53.31
"32","RRCAN",2021-02-09 13:16:35,7.99,53.31
"33","RRCAN",2021-02-09 13:26:35,7.98,53.31
"34","RRCAN",2021-02-09 13:36:35,7.97,53.35
"35","RRCAN",2021-02-09 13:46:35,7.94,53.31
"36","RRCAN",2021-02-09 13:56:35,7.92,53.35
"37","RRCAN",2021-02-09 14:06:35,7.93,53.35
"38","RRCAN",2021-02-09 14:16:35,7.89,53.35
"39","RRCAN",2021-02-09 14:26:35,7.94,53.38
"40","RRCAN",2021-02-09 14:36:35,7.9,53.35
"41","RRCAN",2021-02-09 14:46:35,8.22,54.18
"42","RRCAN",2021-02-09 14:56:35,7.87,53.85
"43","RRCAN",2021-02-09 15:06:35,7.82,53.67
"44","RRCAN",2021-02-09 15:16:35,8,54.03
"45","RRCAN",2021-02-09 15:26:35,7.91,53.85
"46","RRCAN",2021-02-09 15:36:35,7.76,53.74
"47","RRCAN",2021-02-09 15:46:35,7.77,53.67
"48","RRCAN",2021-02-09 15:56:35,7.81,53.67
"49","RRCAN",2021-02-09 16:06:35,7.79,53.67
"50","RRCAN",2021-02-09 16:16:35,7.78,53.71
"51","RRCAN",2021-02-09 16:26:35,7.76,53.78
"52","RRCAN",2021-02-09 16:36:35,7.78,53.89
"53","RRCAN",2021-02-09 16:46:35,7.82,54.64
"54","RRCAN",2021-02-09 16:56:35,8.55,55.87
"55","RRCAN",2021-02-09 17:06:35,8.54,56.41
"56","RRCAN",2021-02-09 17:16:35,8.62,56.66
"57","RRCAN",2021-02-09 17:26:35,8.6,56.73
"58","RRCAN",2021-02-09 17:36:35,8.6,56.62
"59","RRCAN",2021-02-09 17:46:35,8.59,56.55
"60","RRCAN",2021-02-09 17:56:35,8.56,56.48
"61","RRCAN",2021-02-09 18:06:35,8.54,56.52
"62","RRCAN",2021-02-09 18:16:35,8.5,56.52
"63","RRCAN",2021-02-09 18:26:35,8.47,56.52
"64","RRCAN",2021-02-09 18:36:35,8.44,56.44
"65","RRCAN",2021-02-09 18:46:35,8.43,56.48
"66","RRCAN",2021-02-09 18:56:35,8.43,56.44
"67","RRCAN",2021-02-09 19:06:35,8.45,56.41
"68","RRCAN",2021-02-09 19:16:35,8.46,56.37
"69","RRCAN",2021-02-09 19:26:35,8.46,56.26
"70","RRCAN",2021-02-09 19:36:35,8.45,56.23
"71","RRCAN",2021-02-09 19:46:35,8.44,56.19
"72","RRCAN",2021-02-09 19:56:35,8.42,56.16
"73","RRCAN",2021-02-09 20:06:35,8.44,56.12
"74","RRCAN",2021-02-09 20:16:35,8.42,56.08
"75","RRCAN",2021-02-09 20:26:35,8.41,56.08
"76","RRCAN",2021-02-09 20:36:35,8.4,56.08
"77","RRCAN",2021-02-09 20:46:35,8.41,56.08
"78","RRCAN",2021-02-09 20:56:35,8.4,56.08
"79","RRCAN",2021-02-09 21:06:35,8.39,56.05
"80","RRCAN",2021-02-09 21:16:35,8.35,56.05
"81","RRCAN",2021-02-09 21:26:35,8.32,56.05
"82","RRCAN",2021-02-09 21:36:35,8.3,56.05
"83","RRCAN",2021-02-09 21:46:35,8.3,56.05
"84","RRCAN",2021-02-09 21:56:35,8.29,56.01
"85","RRCAN",2021-02-09 22:06:35,8.29,56.01
"86","RRCAN",2021-02-09 22:16:35,8.32,56.01
"87","RRCAN",2021-02-09 22:26:35,8.29,55.98
"88","RRCAN",2021-02-09 22:36:35,8.25,55.94
"89","RRCAN",2021-02-09 22:46:35,8.23,55.9
"90","RRCAN",2021-02-09 22:56:35,8.25,55.94
"91","RRCAN",2021-02-09 23:06:35,8.25,55.94
"92","RRCAN",2021-02-09 23:16:35,8.27,55.94
"93","RRCAN",2021-02-09 23:26:35,8.23,55.9
"94","RRCAN",2021-02-09 23:36:35,8.19,55.87
"95","RRCAN",2021-02-09 23:46:35,8.18,55.87
"96","RRCAN",2021-02-09 23:56:35,8.16,55.87
"97","RRCAN",2021-02-10 00:06:35,8.15,55.83
"98","RRCAN",2021-02-10 00:16:35,8.13,55.8
"99","RRCAN",2021-02-10 00:26:35,8.14,55.8
"100","RRCAN",2021-02-10 00:36:35,8.12,55.8
"101","RRCAN",2021-02-10 00:46:35,8.14,55.8
"102","RRCAN",2021-02-10 00:56:35,8.17,55.8
"103","RRCAN",2021-02-10 01:06:35,8.16,55.76
"104","RRCAN",2021-02-10 01:16:35,8.09,55.76
"105","RRCAN",2021-02-10 01:26:35,8.1,55.72
"106","RRCAN",2021-02-10 01:36:35,8.24,55.69
"107","RRCAN",2021-02-10 01:46:35,8.13,55.65
"108","RRCAN",2021-02-10 01:56:35,8.09,55.62
"109","RRCAN",2021-02-10 02:06:35,8.27,55.58
"110","RRCAN",2021-02-10 02:16:35,8.31,55.54
"111","RRCAN",2021-02-10 02:26:35,8.31,55.47
"112","RRCAN",2021-02-10 02:36:35,8.3,55.47
"113","RRCAN",2021-02-10 02:46:35,8.21,55.44
"114","RRCAN",2021-02-10 02:56:35,8.26,55.4
"115","RRCAN",2021-02-10 03:06:35,8.14,55.36
"116","RRCAN",2021-02-10 03:16:35,8.16,55.33
"117","RRCAN",2021-02-10 03:26:35,8.17,55.29
"118","RRCAN",2021-02-10 03:36:35,8.2,55.26
"119","RRCAN",2021-02-10 03:46:35,8.18,55.22
"120","RRCAN",2021-02-10 03:56:35,8.16,55.18
"121","RRCAN",2021-02-10 04:06:35,8.1,55.15
"122","RRCAN",2021-02-10 04:16:35,8.12,55.15
"123","RRCAN",2021-02-10 04:26:35,8.08,55.11
"124","RRCAN",2021-02-10 04:36:35,8.04,55.08
"125","RRCAN",2021-02-10 04:46:35,8.01,55.04
"126","RRCAN",2021-02-10 04:56:35,7.98,55
"127","RRCAN",2021-02-10 05:06:35,7.9,54.97
"128","RRCAN",2021-02-10 05:16:35,7.89,54.93
"129","RRCAN",2021-02-10 05:26:35,7.88,54.9
"130","RRCAN",2021-02-10 05:36:35,7.83,54.9
"131","RRCAN",2021-02-10 05:46:35,7.87,54.86
"132","RRCAN",2021-02-10 05:56:35,7.88,54.79
"133","RRCAN",2021-02-10 06:06:35,7.87,54.75
"134","RRCAN",2021-02-10 06:16:35,7.84,54.72
"135","RRCAN",2021-02-10 06:26:35,7.82,54.68
"136","RRCAN",2021-02-10 06:36:35,7.76,54.64
"137","RRCAN",2021-02-10 06:46:35,7.76,54.61
"138","RRCAN",2021-02-10 06:56:35,7.77,54.57
"139","RRCAN",2021-02-10 07:06:35,7.74,54.54
"140","RRCAN",2021-02-10 07:16:35,7.71,54.46
"141","RRCAN",2021-02-10 07:26:35,7.69,54.43
"142","RRCAN",2021-02-10 07:36:35,7.61,54.39
"143","RRCAN",2021-02-10 07:46:35,7.59,54.39
"144","RRCAN",2021-02-10 07:56:35,7.6,54.36
"145","RRCAN",2021-02-10 08:06:35,7.55,54.36
"146","RRCAN",2021-02-10 08:16:35,7.48,54.36
"147","RRCAN",2021-02-10 08:26:35,7.42,54.36
"148","RRCAN",2021-02-10 08:36:35,7.4,54.39
"149","RRCAN",2021-02-10 08:46:35,7.3,54.39
"150","RRCAN",2021-02-10 08:56:35,7.25,54.39
"151","RRCAN",2021-02-10 09:06:35,7.3,54.39
"152","RRCAN",2021-02-10 09:16:35,7.32,54.43
"153","RRCAN",2021-02-10 09:26:35,7.33,54.64
"154","RRCAN",2021-02-10 09:36:35,7.24,54.64
"155","RRCAN",2021-02-10 09:46:35,7.29,54.75
"156","RRCAN",2021-02-10 09:56:35,7.34,54.93
"157","RRCAN",2021-02-10 10:06:35,7.34,54.97
"158","RRCAN",2021-02-10 10:16:35,7.29,54.79
"159","RRCAN",2021-02-10 10:26:35,7.35,55.04
"160","RRCAN",2021-02-10 10:36:35,7.6,55.26
"161","RRCAN",2021-02-10 10:46:35,7.84,55.4
"162","RRCAN",2021-02-10 10:56:35,7.93,55.4
"163","RRCAN",2021-02-10 11:06:35,7.96,55.44
"164","RRCAN",2021-02-10 11:16:35,7.95,55.54
"165","RRCAN",2021-02-10 11:26:35,8.13,55.69
"166","RRCAN",2021-02-10 11:36:35,8.08,55.8
"167","RRCAN",2021-02-10 11:46:35,8.06,55.76
