ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Cladocera.embryo,Eucypris,Illyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oliogochaete,Gastropod,Tardigrade,Nematode,Hyallela,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Ilyocryptus,Streblocerus,Moina,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled,Amphipod
MNT3ASource_10/1/2018_8:00,0,0,0,19.80594847,0,0,0,0,11.31768484,0,0,0,5.658842421,0,8.488263632,0,2.829421211,0,2.829421211,0,0,0,16.97652726,0,0,0,0,0,0,0,2.829421211,0,8.488263632,0,2.829421211,0,0,0,0,0,2.829421211,0,0,0,0,0,2.829421211,0,0,NA,0,NA,2018-01-10,MNT3ASource,08:00:00,18.563,812.6,926.1,602,0.46,41.6,3.89,7.61,2.98,1.16,0.14,0,0,1,NA,0.353429174,0
RG92_12/3/2018_12:40,0,0,0,2452.165049,0,188.6280807,565.8842421,0,188.6280807,0,0,0,4810.016058,94.31404034,1697.652726,0,754.5123229,0,0,0,0,94.31404034,377.2561613,0,0,0,0,19145.75019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,RG92,12:40:00,9.655,151.4,213.8,139,0.1,74.5,8.45,7.17,24.94,5.4,0.9,0,0,3,NA,0.353429174,0
MNT3A_12/3/2018_9:30,0,0,94.31404034,660.1982824,0,0,0,0,9431.404034,0,4055.503734,0,1603.338686,94.31404034,660.1982824,0,0,0,0,0,0,0,1226.082524,377.2561613,0,0,0,0,0,0,0,0,0,0,282.9421211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,MNT3A,09:30:00,7.034,425.5,646.6,420,0.32,63,7.59,7.43,14.95,2.5,0.96,0,0,7,NA,0.353429174,0
MNTNEW_12/3/2018_8:40,0,80.84060601,0,161.681212,0,0,0,0,2506.058786,0,4042.030302,0,565.8842421,767.9857571,323.3624241,80.84060601,970.0872723,0,40.42030302,0,0,0,0,1940.174544,0,0,0,40.42030302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,MNTNEW,08:40:00,6.662,336.4,517.4,336,0.25,63.1,7.6,7.16,17.83,2.17,0.97,0,0,5,NA,0.353429174,0
RRCAN_12/3/2018_11:35,0,0,7.349146,334.3861431,11.023719,0,11.023719,18.372865,3.674573002,0,0,0,3.674573002,0,3.674573002,0,22.047438,0,18.372865,0,0,0,36.74573002,0,0,0,0,286.6166941,0,0,0,0,0,0,3.674573002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.674573002,NA,2018-03-12,RRCAN,11:35:00,10.86,645.7,883.3,757,0.44,60.4,6.66,7.54,43.55,4.72,0.99,0,0,1,NA,0.353429174,0
MNTNEWCAN_12/3/2018_8:55,188.6280807,94.31404034,377.2561613,9148.461913,0,94.31404034,471.5702018,0,12166.51121,0,4149.817776,0,1226.082524,3300.991413,188.6280807,188.6280807,2263.536968,0,0,0,0,0,0,0,0,0,0,471.5702018,0,0,94.31404034,94.31404034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,MNTNEWCAN,08:55:00,9.245,381.5,545,354,0.27,75.7,8.63,7.11,26.61,3.2,1.11,0,0,6,NA,0.353429174,0
ACCSAC4_12/3/2018_6:50,0,14.62340547,95.05213554,782.3521926,0,0,14.62340547,0,182.7925684,0,0,0,204.7276766,0,116.9872437,0,87.74043281,0,7.311702734,0,0,0,65.80532461,21.9351082,7.311702734,0,0,628.8064351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,ACCSAC4,06:50:00,10.586,127.6,175.9,114,0.08,83.2,9.27,7.36,5.18,4.37,0.73,21639,22359,2,NA,1.367670482,0
ACCSAC3_12/3/2018_7:00,0,13.72731674,13.72731674,1180.549239,0,0,68.63658368,0,123.5458506,0,0,0,192.1824343,54.90926695,178.4551176,0,164.7278008,0,27.45463347,0,0,0,27.45463347,0,13.72731674,0,0,1825.733126,0,0,0,13.72731674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,ACCSAC3,07:00:00,10.326,128.2,177.8,116,0.08,83.8,9.37,7.3,9.93,3.64,0.86,22381,23148,2,NA,1.456948971,0
ACCSAC2_12/3/2018_7:15,0,35.02612088,315.2350879,1628.714621,0,0,35.02612088,0,157.617544,0,0,0,385.2873297,0,105.0783626,0,87.5653022,0,0,0,0,0,105.0783626,52.53918132,0,0,0,1330.992594,0,0,0,0,0,0,0,0,0,0,0,0,17.51306044,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,ACCSAC2,07:15:00,10.293,139.4,193.6,126,0.09,82.3,9.2,7.1,11.31,4.21,0.92,23150,23651,2,NA,0.95167071,0
ACCSAC1_12/3/2018_7:30,0,30.16863019,30.16863019,1327.419728,0,0,150.843151,0,211.1804113,0,0,0,120.6745208,15.0843151,120.6745208,0,15.0843151,0,0,0,0,0,15.0843151,0,0,0,0,3167.70617,0,0,0,0,0,15.0843151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,ACCSAC1,07:30:00,10.182,95.9,133.4,87,0.06,89.2,10.01,7.12,10.24,3.68,0.99,23644,24342,2,NA,1.32588055,0
ACC_12/3/2018_7:40,0,47.34196015,9.46839203,407.1408573,0,28.40517609,47.34196015,0,160.9626645,0,0,0,388.2040732,0,473.4196015,0,113.6207044,0,18.93678406,0,0,0,0,9.46839203,18.93678406,0,0,871.0920668,0,0,0,0,0,0,0,0,0,0,0,9.46839203,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,ACC,07:40:00,10.061,205.3,287,187,0.14,73,8.13,7.08,13.39,5.41,1.02,24335,24891,2,NA,1.056145539,0
MNTFEA_12/3/2018_8:15,0,5.701132737,39.90792915,1015.941854,0,22.80453094,28.50566368,0,62.7124601,0,0,0,39.90792915,5.701132737,45.60906189,0,45.60906189,0,5.701132737,0,0,0,51.31019463,0,0,0,85.51699104,159.6317167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,MNTFEA,08:15:00,10.297,78.7,109.3,71,0.05,93.2,10.42,7.43,3.58,16.13,1.59,24905,25418,2,NA,0.974465218,0
MNTEB1_12/3/2018_9:45,0,141.8982741,141.8982741,2696.067208,0,141.8982741,331.0959729,0,331.0959729,0,0,0,2317.67181,189.1976988,945.9884937,94.59884937,1040.587344,94.59884937,94.59884937,0,0,47.2994247,0,47.2994247,0,0,0,6196.224635,0,0,0,756.7907954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,MNTEB1,09:45:00,11.008,188.7,257.2,167,0.12,61.7,6.79,7.02,16.99,3.06,0.85,25429,26171,2,NA,1.409460413,0
SFTSAC_12/3/2018_10:45,15.88062132,0,651.1054743,1175.165978,0,0,31.76124265,0,95.28372794,0,0,0,1556.30089,63.52248529,333.4930478,0,301.7318051,0,15.88062132,0,0,0,0,0,0,0,0,428.7767757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2018-03-12,SFTSAC,10:45:00,10.496,133.6,184.6,120,0.09,81.9,9.09,7.38,16.51,3.21,0.79,26182,26845,2,NA,1.259396568,0
