LOCATION,DateTime,DO.mgL,Temp.F
TLSAC,2022-02-07T13:59:00Z,12.14,50.83
TLSAC,2022-02-07T14:14:00Z,12.22,50.61
TLSAC,2022-02-07T14:29:00Z,12.23,50.58
TLSAC,2022-02-07T14:44:00Z,12.27,50.58
TLSAC,2022-02-07T14:59:00Z,12.27,50.61
TLSAC,2022-02-07T15:14:00Z,12.27,50.61
TLSAC,2022-02-07T15:29:00Z,12.27,50.61
TLSAC,2022-02-07T15:44:00Z,12.29,50.65
TLSAC,2022-02-07T15:59:00Z,12.31,50.65
TLSAC,2022-02-07T16:14:00Z,12.31,50.68
TLSAC,2022-02-07T16:29:00Z,12.31,50.65
TLSAC,2022-02-07T16:44:00Z,12.32,50.68
TLSAC,2022-02-07T16:59:00Z,12.32,50.65
TLSAC,2022-02-07T17:14:00Z,12.32,50.65
TLSAC,2022-02-07T17:29:00Z,12.32,50.65
TLSAC,2022-02-07T17:44:00Z,12.32,50.65
TLSAC,2022-02-07T17:59:00Z,12.31,50.65
TLSAC,2022-02-07T18:14:00Z,12.31,50.61
TLSAC,2022-02-07T18:29:00Z,12.29,50.61
TLSAC,2022-02-07T18:44:00Z,12.29,50.58
TLSAC,2022-02-07T18:59:00Z,12.28,50.58
TLSAC,2022-02-07T19:14:00Z,12.27,50.54
TLSAC,2022-02-07T19:29:00Z,12.25,50.5
TLSAC,2022-02-07T19:44:00Z,12.23,50.47
TLSAC,2022-02-07T19:59:00Z,12.22,50.47
TLSAC,2022-02-07T20:14:00Z,12.21,50.43
TLSAC,2022-02-07T20:29:00Z,12.22,50.4
TLSAC,2022-02-07T20:44:00Z,12.2,50.36
TLSAC,2022-02-07T20:59:00Z,12.18,50.32
TLSAC,2022-02-07T21:14:00Z,12.18,50.29
TLSAC,2022-02-07T21:29:00Z,12.16,50.25
TLSAC,2022-02-07T21:44:00Z,12.16,50.22
TLSAC,2022-02-07T21:59:00Z,12.15,50.18
TLSAC,2022-02-07T22:14:00Z,12.15,50.11
TLSAC,2022-02-07T22:29:00Z,12.14,50.11
TLSAC,2022-02-07T22:44:00Z,12.14,50.07
TLSAC,2022-02-07T22:59:00Z,12.13,50.04
TLSAC,2022-02-07T23:14:00Z,12.14,50
TLSAC,2022-02-07T23:29:00Z,12.14,49.96
TLSAC,2022-02-07T23:44:00Z,12.12,49.93
TLSAC,2022-02-07T23:59:00Z,12.1,49.93
TLSAC,2022-02-08T00:14:00Z,12.1,49.89
TLSAC,2022-02-08T00:29:00Z,12.09,49.86
TLSAC,2022-02-08T00:44:00Z,12.09,49.86
TLSAC,2022-02-08T00:59:00Z,12.09,49.82
TLSAC,2022-02-08T01:14:00Z,12.08,49.82
TLSAC,2022-02-08T01:29:00Z,12.08,49.82
TLSAC,2022-02-08T01:44:00Z,12.07,49.82
TLSAC,2022-02-08T01:59:00Z,12.08,49.82
TLSAC,2022-02-08T02:14:00Z,12.06,49.82
TLSAC,2022-02-08T02:29:00Z,12.06,49.82
TLSAC,2022-02-08T02:44:00Z,12.06,49.86
