Date,LOCATION,PIT,Length.mm,Weight.g
2022-02-07T00:00:00Z,RRCAN,1BD24F,53,1.32
2022-02-07T00:00:00Z,RRCAN,1BE3F1,55,1.27
2022-02-07T00:00:00Z,RRCAN,1BE9B9,51,1.06
2022-02-07T00:00:00Z,RRCAN,1BFA43,53,1.27
2022-02-07T00:00:00Z,RRCAN,1BADDF,51,1.13
2022-02-07T00:00:00Z,RRCAN,1BB146,55,1.3
2022-02-07T00:00:00Z,RRCAN,1BB6D3,55,1.35
2022-02-07T00:00:00Z,RRCAN,1BD572,54,1.32
2022-02-07T00:00:00Z,RRCAN,1BEDDD,51,1.12
2022-02-07T00:00:00Z,RRCAN,1BF25A,55,1.6
2022-02-07T00:00:00Z,RRCAN,1C00DE,57,1.64
2022-02-07T00:00:00Z,RRCAN,1C02A0,52,1.27
2022-02-07T00:00:00Z,RRSAC1,1BBE65,56,1.51
2022-02-07T00:00:00Z,RRSAC1,1BC31B,54,1.32
2022-02-07T00:00:00Z,RRSAC1,1BD472,54,1.35
2022-02-07T00:00:00Z,RRSAC1,1BEBA0,52,1.18
2022-02-07T00:00:00Z,RRSAC1,1B9E9D,56,1.44
2022-02-07T00:00:00Z,RRSAC1,1BAE39,55,1.65
2022-02-07T00:00:00Z,RRSAC1,1BC0BE,50,1.03
2022-02-07T00:00:00Z,RRSAC1,1BC662,54,1.31
2022-02-07T00:00:00Z,RRSAC1,1BB6CE,57,1.36
2022-02-07T00:00:00Z,RRSAC1,1BE15F,55,1.4
2022-02-07T00:00:00Z,RRSAC1,1BEB90,55,1.36
2022-02-07T00:00:00Z,RRSAC1,1BEFD9,55,1.32
2022-02-07T00:00:00Z,RRSAC1,1BF640,55,1.6
2022-02-07T00:00:00Z,RRSAC2A,1BE465,53,1.29
2022-02-07T00:00:00Z,RRSAC2A,1B8F6E,52,1.26
2022-02-07T00:00:00Z,RRSAC2A,1BAA48,57,1.62
2022-02-07T00:00:00Z,RRSAC2A,1BAF7F,54,1.43
2022-02-07T00:00:00Z,RRSAC2A,1BC769,51,1.18
2022-02-07T00:00:00Z,RRSAC2A,1BCADB,57,1.41
2022-02-07T00:00:00Z,RRSAC2A,1BD121,55,1.61
2022-02-07T00:00:00Z,RRSAC2A,1BE529,51,1.36
2022-02-07T00:00:00Z,RRSAC2A,1BFB64,56,1.46
2022-02-07T00:00:00Z,RRSAC2C,1B9929,53,1.37
2022-02-07T00:00:00Z,RRSAC2C,1BB402,53,1.21
2022-02-07T00:00:00Z,RRSAC2C,1BC71D,56,1.54
2022-02-07T00:00:00Z,RRSAC2C,1BCF84,55,1.17
2022-02-07T00:00:00Z,RRSAC2C,1BBEEE,53,1.21
2022-02-07T00:00:00Z,RRSAC2C,1BD612,55,1.27
2022-02-07T00:00:00Z,RRSAC2C,1BECE5,60,2.03
2022-02-07T00:00:00Z,RRSAC2C,1BA8AA,57,1.65
2022-02-07T00:00:00Z,RRSAC2C,1BA921,54,1.35
2022-02-07T00:00:00Z,RRSAC2C,1BFA0C,55,1.62
2022-02-07T00:00:00Z,RRSAC2C,1BFFB9,55,1.54
2022-02-07T00:00:00Z,RRSAC4,1BA507,56,1.57
2022-02-07T00:00:00Z,RRSAC4,1BB5FE,51,1.19
2022-02-07T00:00:00Z,RRSAC4,1BBBAF,55,1.25
2022-02-07T00:00:00Z,RRSAC4,1BC987,52,1.26
2022-02-07T00:00:00Z,RRSAC4,1BFCA6,51,1.13
2022-02-07T00:00:00Z,RRSAC4,1BB111,55,1.49
2022-02-07T00:00:00Z,RRSAC4,1BD439,56,1.5
2022-02-07T00:00:00Z,RRSAC4,1BDD45,58,1.88
2022-02-07T00:00:00Z,RRSAC4,1BF3C5,56,1.52
2022-02-07T00:00:00Z,RRSAC4,1B9FAB,56,1.81
2022-02-07T00:00:00Z,RRSAC4,1BD1E0,51,1.17
2022-02-07T00:00:00Z,RRSAC4,1BDC13,54,1.3
2022-02-07T00:00:00Z,RRSAC4,1BF185,55,1.32
2022-02-07T00:00:00Z,RRSAC5,1B98ED,50,1.09
2022-02-07T00:00:00Z,RRSAC5,1B9FE5,58,1.74
2022-02-07T00:00:00Z,RRSAC5,1BE55F,53,1.28
2022-02-07T00:00:00Z,RRSAC5,1BF2BB,59,1.3
2022-02-07T00:00:00Z,RRSAC5,1BF5DF,50,1.06
2022-02-07T00:00:00Z,RRSAC5,1BB70A,55,1.46
2022-02-07T00:00:00Z,RRSAC5,1BC6CA,57,1.49
2022-02-07T00:00:00Z,RRSAC5,1BE830,57,1.67
2022-02-07T00:00:00Z,RRSAC5,1BBED9,56,1.59
2022-02-07T00:00:00Z,RRSAC5,1BCF38,54,1.35
2022-02-07T00:00:00Z,RRSAC5,1BF2B7,55,1.45
2022-02-07T00:00:00Z,RRSAC5,1BFBA5,54,1.16
2022-02-07T00:00:00Z,RRSAC7,1B9DC6,54,1.28
2022-02-07T00:00:00Z,RRSAC7,1BB36F,56,1.42
2022-02-07T00:00:00Z,RRSAC7,1BD1BE,57,1.66
